file,rows,missing_cols,high_missing,reasons
CXRN.parquet,155,,,low_rows(155)
CYCU.parquet,159,,,low_rows(159)
DAAQ.parquet,87,,,low_rows(87)
DAAQU.parquet,109,,,low_rows(109)
DABS.parquet,149,,,low_rows(149)
DADS.parquet,42,,,low_rows(42)
DAIC.parquet,73,,,low_rows(73)
DAK.parquet,47,,,low_rows(47)
DDFL.parquet,67,,,low_rows(67)
DDFO.parquet,3,,,low_rows(3)
DDFS.parquet,24,,,low_rows(24)
DDTL.parquet,67,,,low_rows(67)
DDTO.parquet,3,,,low_rows(3)
DDTS.parquet,24,,,low_rows(24)
DECM.parquet,195,,,low_rows(195)
DECU.parquet,210,,,low_rows(210)
DEFR.parquet,99,,,low_rows(99)
DEVS.parquet,225,,,low_rows(225)
DEXC.parquet,221,,,low_rows(221)
DFII.parquet,127,,,low_rows(127)
DGLO.parquet,41,,,low_rows(41)
DGNX.parquet,177,,,low_rows(177)
DHCNL.parquet,1,,,low_rows(1)
DHDG.parquet,239,,,low_rows(239)
DHLX.parquet,5,,,low_rows(5)
DHSB.parquet,154,,,low_rows(154)
DIVE.parquet,14,,,low_rows(14)
DIVN.parquet,70,,,low_rows(70)
DJTU.parquet,149,,,low_rows(149)
DKI.parquet,40,,,low_rows(40)
DKNX.parquet,46,,,low_rows(46)
DKUP.parquet,46,,,low_rows(46)
DLAG.parquet,10,,,low_rows(10)
DLLL.parquet,160,,,low_rows(160)
DLXY.parquet,62,,,low_rows(62)
DMAA.parquet,154,,,low_rows(154)
DMAAR.parquet,1,,,low_rows(1)
DMAAU.parquet,118,,,low_rows(118)
DMAX.parquet,189,,,low_rows(189)
DMIIU.parquet,7,,,low_rows(7)
DMX.parquet,209,,,low_rows(209)
DOGD.parquet,38,,,low_rows(38)
DOJE.parquet,12,,,low_rows(12)
DRAY.parquet,58,,,low_rows(58)
DRDB.parquet,169,,,low_rows(169)
DRDBU.parquet,201,,,low_rows(201)
DRES.parquet,3,,,low_rows(3)
DRGN.parquet,58,,,low_rows(58)
DSPY.parquet,128,,,low_rows(128)
DTK.parquet,10,,,low_rows(10)
DTSQR.parquet,1,,,low_rows(1)
DUNK.parquet,14,,,low_rows(14)
DVIN.parquet,52,,,low_rows(52)
DVQQ.parquet,194,,,low_rows(194)
DVRE.parquet,52,,,low_rows(52)
DVSP.parquet,199,,,low_rows(199)
DVUT.parquet,52,,,low_rows(52)
DVXB.parquet,52,,,low_rows(52)
DVXC.parquet,52,,,low_rows(52)
DVXE.parquet,52,,,low_rows(52)
DVXF.parquet,52,,,low_rows(52)
DVXK.parquet,52,,,low_rows(52)
DVXP.parquet,51,,,low_rows(51)
DVXV.parquet,52,,,low_rows(52)
DVXY.parquet,52,,,low_rows(52)
DXF.parquet,175,,,low_rows(175)
DXST.parquet,177,,,low_rows(177)
DYCQR.parquet,1,,,low_rows(1)
DYNB.parquet,8,,,low_rows(8)
